timesteps,mean_return,std_return
12500,289.4828,129.21996935063297
37500,353.7658,146.90267369186225
62500,383.9687333333333,131.5416640815335
87500,393.62126666666666,131.12232305555898
112500,436.1522666666666,91.98031228973417
137500,388.2876666666666,132.58068691733263
162500,390.6450666666667,118.41400060500226
187500,448.0468,77.99626311543219
212500,422.99893333333335,108.58250312855496
237500,405.24573333333336,125.91603433172214
262500,370.11746666666664,139.90164326861446
287500,394.7836666666667,123.85912140888901
312500,344.55613333333326,145.20112419852865
337500,392.0853333333333,131.2065837293738
362500,379.94053333333335,144.6258677955027
387500,337.6768666666666,145.51570089638008
412500,407.008,113.502662100373
437500,416.7875333333334,114.73755833851018
462500,418.21846666666664,100.46333634022274
487500,434.38033333333334,92.30087660823858
512500,366.5875333333333,156.56255398251432
537500,450.1452666666667,81.30546844173075
562500,452.5584666666666,78.26861663288587
587500,401.58939999999996,139.52877455366013
612500,442.4824666666667,90.15177913272476
637500,412.1821333333334,125.01162131940626
662500,423.31606666666676,115.108948513862
687500,427.73020000000014,100.43964349954422
712500,428.93619999999993,102.4802521904409
737500,405.4895333333334,135.92140381630944
762500,413.1613333333333,123.06936797170002
787500,425.7884,108.08764793488314
812500,433.4000666666667,92.62535676368896
837500,441.97566666666665,79.37948282429447
862500,432.56086666666675,108.94420117607146
887500,437.2303999999999,99.8843382130551
912500,385.72826666666674,143.083842107122
937500,404.6042,129.63249854957084
962500,404.1467333333333,127.19756762024384
987500,408.14213333333333,133.25738124353057
