timesteps,return
0,40.96666666666667
250,9.066666666666666
500,9.4
750,9.433333333333334
1000,9.3
1250,101.9
1500,49.6
1750,33.166666666666664
2000,201.3
2250,159.83333333333334
2500,9.233333333333333
2750,9.5
3000,93.86666666666666
3250,102.16666666666667
3500,86.86666666666666
3750,66.66666666666667
4000,53.56666666666667
4250,84.23333333333333
4500,131.86666666666667
4750,234.0
5000,273.53333333333336
5250,285.23333333333335
5500,20.0
5750,132.56666666666666
6000,139.03333333333333
6250,128.73333333333332
6500,131.9
6750,151.53333333333333
7000,189.56666666666666
7250,184.26666666666668
7500,147.76666666666668
7750,490.3
8000,478.53333333333336
8250,402.26666666666665
8500,44.4
8750,76.63333333333334
9000,183.56666666666666
9250,148.36666666666667
9500,152.23333333333332
9750,179.36666666666667
10000,164.56666666666666
10250,154.8
10500,147.93333333333334
10750,46.6
11000,129.0
11250,32.53333333333333
11500,500.0
11750,500.0
12000,500.0
12250,500.0
12500,492.76666666666665
12750,500.0
13000,273.26666666666665
13250,500.0
13500,376.76666666666665
13750,484.73333333333335
14000,500.0
14250,500.0
14500,500.0
14750,500.0
15000,499.6666666666667
15250,500.0
15500,500.0
15750,9.366666666666667
16000,9.766666666666667
16250,500.0
16500,500.0
16750,500.0
17000,500.0
17250,500.0
17500,500.0
17750,500.0
18000,500.0
18250,500.0
18500,500.0
18750,500.0
19000,500.0
19250,500.0
19500,500.0
19750,500.0
20000,500.0
20250,500.0
20500,500.0
20750,109.53333333333333
21000,9.366666666666667
21250,500.0
21500,437.1333333333333
21750,326.23333333333335
22000,500.0
22250,500.0
22500,203.63333333333333
22750,190.23333333333332
23000,175.63333333333333
23250,137.2
23500,500.0
23750,500.0
24000,500.0
24250,155.56666666666666
24500,169.0
24750,175.8
25000,178.3
25250,184.06666666666666
25500,222.13333333333333
25750,185.03333333333333
26000,163.26666666666668
26250,154.26666666666668
26500,500.0
26750,143.9
27000,191.16666666666666
27250,183.73333333333332
27500,138.76666666666668
27750,490.6666666666667
28000,500.0
28250,500.0
28500,500.0
28750,500.0
29000,9.6
29250,500.0
29500,500.0
29750,500.0
30000,500.0
30250,500.0
30500,177.16666666666666
30750,500.0
31000,122.86666666666666
31250,218.46666666666667
31500,141.96666666666667
31750,500.0
32000,500.0
32250,500.0
32500,500.0
32750,161.46666666666667
33000,499.96666666666664
33250,500.0
33500,500.0
33750,202.5
34000,500.0
34250,171.16666666666666
34500,167.56666666666666
34750,500.0
35000,500.0
35250,500.0
35500,500.0
35750,500.0
36000,500.0
36250,500.0
36500,500.0
36750,500.0
37000,500.0
37250,500.0
37500,500.0
37750,500.0
38000,140.26666666666668
38250,500.0
38500,500.0
38750,158.13333333333333
39000,500.0
39250,204.06666666666666
39500,500.0
39750,117.53333333333333
40000,500.0
40250,158.13333333333333
40500,500.0
40750,12.433333333333334
41000,71.8
41250,500.0
41500,500.0
41750,500.0
42000,500.0
42250,500.0
42500,500.0
42750,500.0
43000,500.0
43250,500.0
43500,107.16666666666667
43750,119.16666666666667
44000,146.53333333333333
44250,138.33333333333334
44500,147.2
