timesteps,return
0,9.166666666666666
250,38.36666666666667
500,11.166666666666666
750,77.23333333333333
1000,66.6
1250,260.56666666666666
1500,150.26666666666668
1750,166.66666666666666
2000,65.9
2250,500.0
2500,500.0
2750,423.5
3000,500.0
3250,500.0
3500,500.0
3750,500.0
4000,500.0
4250,500.0
4500,500.0
4750,500.0
5000,142.36666666666667
5250,61.8
5500,500.0
5750,500.0
6000,500.0
6250,132.23333333333332
6500,142.03333333333333
6750,108.0
7000,107.6
7250,181.46666666666667
7500,202.5
7750,176.26666666666668
8000,500.0
8250,500.0
8500,500.0
8750,500.0
9000,231.26666666666668
9250,500.0
9500,500.0
9750,500.0
10000,500.0
10250,93.33333333333333
10500,308.6666666666667
10750,500.0
11000,500.0
11250,95.8
11500,500.0
11750,500.0
12000,483.46666666666664
12250,354.3666666666667
12500,9.433333333333334
12750,134.7
13000,134.83333333333334
13250,270.3666666666667
13500,490.3666666666667
13750,429.56666666666666
14000,202.2
14250,500.0
14500,145.5
14750,43.9
15000,158.9
15250,331.4
15500,134.33333333333334
15750,500.0
16000,386.06666666666666
16250,124.03333333333333
16500,187.06666666666666
16750,290.26666666666665
17000,261.96666666666664
17250,439.06666666666666
17500,500.0
17750,500.0
18000,234.43333333333334
18250,494.06666666666666
18500,500.0
18750,500.0
19000,500.0
19250,500.0
19500,201.66666666666666
19750,152.56666666666666
20000,131.93333333333334
20250,143.6
20500,147.93333333333334
20750,149.96666666666667
21000,151.16666666666666
21250,147.66666666666666
21500,206.3
21750,261.23333333333335
22000,195.63333333333333
22250,201.4
22500,201.43333333333334
22750,329.93333333333334
23000,500.0
23250,500.0
23500,500.0
23750,500.0
24000,500.0
24250,34.86666666666667
24500,54.0
24750,500.0
25000,500.0
25250,496.56666666666666
25500,212.53333333333333
25750,236.36666666666667
26000,500.0
26250,500.0
26500,20.033333333333335
26750,500.0
27000,500.0
27250,201.43333333333334
27500,150.1
27750,245.9
28000,500.0
28250,491.8
28500,500.0
28750,500.0
29000,500.0
29250,500.0
29500,500.0
29750,500.0
30000,500.0
30250,500.0
30500,500.0
30750,418.73333333333335
31000,9.533333333333333
31250,435.9
31500,500.0
31750,500.0
32000,500.0
32250,500.0
32500,500.0
32750,500.0
33000,500.0
33250,121.53333333333333
33500,151.33333333333334
33750,151.26666666666668
34000,119.46666666666667
34250,100.56666666666666
34500,114.6
34750,117.13333333333334
35000,120.96666666666667
35250,131.63333333333333
35500,27.466666666666665
35750,113.9
36000,268.73333333333335
36250,303.1333333333333
36500,150.03333333333333
36750,128.0
37000,152.43333333333334
37250,153.8
37500,248.26666666666668
37750,208.4
38000,195.23333333333332
38250,205.4
38500,202.3
38750,160.83333333333334
39000,168.96666666666667
39250,175.53333333333333
39500,152.86666666666667
39750,124.63333333333334
40000,128.03333333333333
40250,152.13333333333333
40500,133.5
40750,160.0
41000,179.56666666666666
41250,211.03333333333333
41500,241.43333333333334
41750,134.1
42000,279.46666666666664
42250,336.93333333333334
42500,500.0
42750,500.0
43000,500.0
43250,500.0
43500,500.0
43750,500.0
44000,260.3333333333333
44250,285.5
44500,351.3
44750,380.43333333333334
45000,219.1
45250,207.13333333333333
45500,500.0
45750,492.43333333333334
46000,162.26666666666668
46250,162.33333333333334
46500,191.9
46750,500.0
47000,285.23333333333335
47250,228.23333333333332
47500,345.4
