timesteps,run_1,run_2,run_3,run_4,run_5,mean_return,std_return
0,9.733333333333333,11.066666666666666,9.233333333333333,9.1,9.266666666666667,9.68,0.725595540841376
250,9.466666666666667,9.466666666666667,9.466666666666667,9.5,9.3,9.440000000000001,0.07118052168020848
500,41.266666666666666,9.266666666666667,22.733333333333334,39.36666666666667,22.766666666666666,27.079999999999995,11.891483413677948
750,9.3,63.96666666666667,51.36666666666667,27.0,31.633333333333333,36.65333333333333,19.126382012521052
1000,52.13333333333333,86.5,69.56666666666666,61.13333333333333,9.066666666666666,55.67999999999999,25.91459991759257
1250,94.06666666666666,173.86666666666667,43.56666666666667,18.7,330.3333333333333,132.10666666666665,112.41454907815289
1500,167.96666666666667,76.83333333333333,23.933333333333334,50.7,49.36666666666667,73.76,49.987671368937455
1750,284.6333333333333,100.7,31.633333333333333,20.766666666666666,85.63333333333334,104.67333333333333,95.01482083221426
2000,9.333333333333334,73.53333333333333,40.13333333333333,11.633333333333333,51.3,37.18666666666667,24.3217196029484
2250,69.63333333333334,406.3,111.63333333333334,154.6,71.76666666666667,162.7866666666667,125.65397920037745
2500,61.56666666666667,47.1,462.46666666666664,46.46666666666667,133.3,150.18,159.40022668323488
2750,163.93333333333334,11.933333333333334,9.433333333333334,111.6,37.3,66.84,61.01385416444367
3000,87.53333333333333,114.36666666666666,47.0,355.6666666666667,410.6,203.03333333333333,149.61903919250682
3250,69.06666666666666,146.43333333333334,70.53333333333333,39.766666666666666,16.566666666666666,68.47333333333333,43.819475122369965
3500,154.66666666666666,285.23333333333335,108.03333333333333,120.26666666666667,109.6,155.56,66.98163396699792
3750,150.46666666666667,361.96666666666664,138.53333333333333,163.3,85.56666666666666,179.96666666666664,94.76297683049945
4000,75.86666666666666,369.46666666666664,454.3666666666667,169.46666666666667,167.16666666666666,247.2666666666667,141.1878606679767
4250,88.76666666666667,463.5,220.23333333333332,23.4,45.1,168.2,162.6898043653764
4500,81.66666666666667,491.03333333333336,262.8,344.9,103.2,256.72,152.92316821782688
4750,87.0,362.3333333333333,150.8,326.9,89.33333333333333,203.27333333333334,118.18536175573239
5000,65.13333333333334,398.96666666666664,128.66666666666666,195.03333333333333,132.4,184.04,115.05304554373555
