timesteps,return
0,30.6
250,9.166666666666666
500,9.233333333333333
750,10.033333333333333
1000,40.2
1250,9.4
1500,36.63333333333333
1750,31.4
2000,38.03333333333333
2250,38.233333333333334
2500,43.93333333333333
2750,31.333333333333332
3000,73.23333333333333
3250,84.3
3500,59.56666666666667
3750,69.5
4000,112.86666666666666
4250,59.13333333333333
4500,205.7
4750,198.73333333333332
5000,249.13333333333333
5250,15.2
5500,28.166666666666668
5750,235.73333333333332
6000,273.3666666666667
6250,221.9
6500,175.6
6750,304.2
7000,244.2
7250,295.73333333333335
7500,72.3
7750,87.43333333333334
8000,164.56666666666666
8250,428.0
8500,85.8
8750,466.9
9000,499.56666666666666
9250,500.0
9500,344.3
9750,500.0
10000,371.96666666666664
10250,500.0
10500,137.13333333333333
10750,500.0
11000,9.266666666666667
11250,38.53333333333333
11500,78.96666666666667
11750,129.4
12000,72.73333333333333
12250,298.93333333333334
12500,289.7
12750,498.6333333333333
13000,377.5
13250,349.5
13500,500.0
13750,500.0
14000,127.8
14250,133.46666666666667
14500,61.56666666666667
14750,75.16666666666667
15000,500.0
15250,500.0
15500,500.0
15750,500.0
16000,500.0
16250,500.0
16500,500.0
16750,14.2
17000,500.0
17250,500.0
17500,500.0
17750,495.03333333333336
18000,500.0
18250,500.0
18500,500.0
18750,500.0
19000,500.0
19250,500.0
19500,500.0
19750,500.0
20000,500.0
20250,24.733333333333334
20500,113.03333333333333
20750,34.233333333333334
21000,130.2
21250,500.0
21500,187.83333333333334
21750,491.6666666666667
22000,245.9
22250,500.0
22500,500.0
22750,500.0
23000,267.23333333333335
23250,500.0
23500,315.6333333333333
23750,267.3
24000,194.66666666666666
24250,174.6
24500,194.9
24750,85.9
25000,500.0
25250,232.1
25500,257.73333333333335
25750,213.73333333333332
26000,198.53333333333333
26250,230.43333333333334
26500,84.03333333333333
26750,500.0
27000,500.0
27250,297.03333333333336
27500,69.16666666666667
27750,54.63333333333333
28000,59.6
28250,61.7
28500,99.43333333333334
28750,119.3
29000,97.56666666666666
29250,88.96666666666667
29500,181.8
29750,229.06666666666666
30000,113.2
30250,252.0
30500,110.7
30750,308.8333333333333
31000,357.6333333333333
31250,278.26666666666665
31500,230.06666666666666
31750,126.3
32000,500.0
32250,308.03333333333336
32500,500.0
32750,500.0
33000,500.0
33250,500.0
33500,500.0
33750,500.0
34000,239.5
34250,35.6
34500,500.0
34750,196.7
35000,173.83333333333334
35250,62.86666666666667
35500,372.8333333333333
35750,114.5
36000,167.76666666666668
36250,316.9
36500,46.766666666666666
36750,500.0
37000,33.766666666666666
37250,26.4
37500,12.3
37750,33.2
38000,23.9
38250,81.8
38500,277.3333333333333
38750,500.0
39000,500.0
39250,22.866666666666667
39500,35.96666666666667
39750,500.0
40000,500.0
40250,500.0
40500,500.0
40750,500.0
41000,500.0
41250,500.0
41500,500.0
41750,500.0
42000,500.0
42250,500.0
42500,500.0
42750,500.0
43000,500.0
43250,500.0
43500,500.0
43750,307.9
44000,500.0
44250,500.0
44500,500.0
44750,500.0
45000,500.0
45250,500.0
