timesteps,return
0,28.5
250,12.2
500,10.766666666666667
750,19.366666666666667
1000,104.66666666666667
1250,13.333333333333334
1500,59.93333333333333
1750,53.36666666666667
2000,36.6
2250,246.06666666666666
2500,158.5
2750,451.43333333333334
3000,236.43333333333334
3250,489.26666666666665
3500,75.6
3750,113.0
4000,83.1
4250,500.0
4500,500.0
4750,500.0
5000,500.0
5250,500.0
5500,154.03333333333333
5750,500.0
6000,19.233333333333334
6250,500.0
6500,311.03333333333336
6750,152.1
7000,119.66666666666667
7250,125.06666666666666
7500,94.33333333333333
7750,79.56666666666666
8000,78.6
8250,78.16666666666667
8500,90.56666666666666
8750,129.43333333333334
9000,500.0
9250,500.0
9500,440.46666666666664
9750,500.0
10000,500.0
10250,500.0
10500,500.0
10750,500.0
11000,500.0
11250,500.0
11500,500.0
11750,500.0
12000,500.0
12250,9.266666666666667
12500,500.0
12750,500.0
13000,420.56666666666666
13250,500.0
13500,500.0
13750,499.73333333333335
14000,500.0
14250,10.833333333333334
14500,141.03333333333333
14750,246.36666666666667
15000,301.3
15250,54.1
15500,67.23333333333333
15750,54.1
16000,487.03333333333336
16250,500.0
16500,488.1666666666667
16750,151.16666666666666
17000,85.16666666666667
17250,125.06666666666666
17500,127.26666666666667
17750,79.76666666666667
18000,163.23333333333332
18250,181.03333333333333
18500,279.5
18750,228.83333333333334
19000,201.3
19250,170.13333333333333
19500,207.83333333333334
19750,232.8
20000,231.0
20250,246.76666666666668
20500,224.2
20750,181.66666666666666
21000,182.33333333333334
21250,343.23333333333335
21500,157.8
21750,75.43333333333334
22000,267.06666666666666
22250,500.0
22500,254.56666666666666
22750,500.0
23000,500.0
23250,136.16666666666666
23500,184.86666666666667
23750,500.0
24000,394.56666666666666
24250,272.6333333333333
24500,500.0
24750,223.2
25000,188.53333333333333
25250,157.43333333333334
25500,147.63333333333333
25750,208.46666666666667
26000,196.0
26250,194.9
26500,164.73333333333332
26750,192.2
27000,278.1333333333333
27250,287.5
27500,500.0
27750,500.0
28000,108.93333333333334
28250,70.73333333333333
28500,238.0
28750,267.3666666666667
29000,285.3666666666667
29250,463.6
29500,270.3333333333333
29750,401.93333333333334
30000,313.8666666666667
30250,500.0
30500,500.0
30750,354.53333333333336
31000,295.23333333333335
31250,328.76666666666665
31500,312.8333333333333
31750,500.0
32000,259.96666666666664
32250,357.73333333333335
32500,500.0
32750,441.6666666666667
33000,9.266666666666667
33250,500.0
33500,500.0
33750,500.0
34000,287.1
34250,204.3
34500,147.4
34750,179.4
35000,11.866666666666667
35250,311.93333333333334
35500,444.93333333333334
35750,500.0
36000,500.0
36250,303.93333333333334
36500,500.0
36750,216.43333333333334
37000,361.26666666666665
37250,500.0
37500,305.8333333333333
37750,467.3333333333333
38000,446.2
38250,500.0
38500,315.8
38750,500.0
39000,500.0
39250,500.0
39500,500.0
39750,500.0
40000,500.0
40250,421.3666666666667
40500,258.6666666666667
40750,326.6666666666667
41000,500.0
41250,500.0
41500,500.0
41750,500.0
42000,500.0
42250,500.0
42500,500.0
42750,500.0
43000,500.0
