timesteps,return
0,10.466666666666667
250,20.433333333333334
500,35.46666666666667
750,81.46666666666667
1000,48.46666666666667
1250,14.766666666666667
1500,111.56666666666666
1750,350.3
2000,342.2
2250,217.43333333333334
2500,390.23333333333335
2750,208.36666666666667
3000,465.3
3250,311.03333333333336
3500,9.366666666666667
3750,76.36666666666666
4000,181.73333333333332
4250,389.6333333333333
4500,306.46666666666664
4750,33.4
5000,171.0
5250,287.26666666666665
5500,500.0
5750,500.0
6000,500.0
6250,228.3
6500,500.0
6750,500.0
7000,339.06666666666666
7250,228.46666666666667
7500,185.66666666666666
7750,167.13333333333333
8000,333.4
8250,500.0
8500,316.23333333333335
8750,233.93333333333334
9000,229.93333333333334
9250,11.233333333333333
9500,255.53333333333333
9750,500.0
10000,500.0
10250,197.5
10500,294.6
10750,500.0
11000,500.0
11250,500.0
11500,500.0
11750,500.0
12000,500.0
12250,500.0
12500,500.0
12750,500.0
13000,500.0
13250,500.0
13500,500.0
13750,500.0
14000,500.0
14250,500.0
14500,230.2
14750,500.0
15000,500.0
15250,416.1333333333333
15500,196.8
15750,500.0
16000,500.0
16250,207.23333333333332
16500,151.56666666666666
16750,144.73333333333332
17000,118.63333333333334
17250,137.26666666666668
17500,132.0
17750,117.63333333333334
18000,109.53333333333333
18250,177.23333333333332
18500,328.26666666666665
18750,295.3666666666667
19000,299.8
19250,161.53333333333333
19500,183.7
19750,368.1666666666667
20000,431.3
20250,353.6333333333333
20500,485.5
20750,500.0
21000,456.8
21250,500.0
21500,113.86666666666666
21750,215.3
22000,126.36666666666666
22250,137.63333333333333
22500,117.33333333333333
22750,65.83333333333333
23000,460.8333333333333
23250,131.33333333333334
23500,297.6333333333333
23750,266.3333333333333
24000,441.7
24250,350.8
24500,500.0
24750,191.8
25000,199.9
25250,412.46666666666664
25500,500.0
25750,162.43333333333334
26000,500.0
26250,136.8
26500,500.0
26750,500.0
27000,500.0
27250,500.0
27500,500.0
27750,500.0
28000,500.0
28250,231.7
28500,500.0
28750,316.96666666666664
29000,500.0
29250,500.0
29500,500.0
29750,500.0
30000,500.0
30250,425.8666666666667
30500,500.0
30750,500.0
31000,500.0
31250,126.8
31500,419.6666666666667
31750,500.0
32000,500.0
32250,500.0
32500,500.0
32750,176.6
33000,500.0
33250,500.0
33500,500.0
33750,500.0
34000,500.0
34250,500.0
34500,500.0
34750,500.0
35000,144.7
35250,164.2
35500,382.76666666666665
35750,500.0
