timesteps,run_1,run_2,run_3,run_4,run_5,mean_return,std_return
0,9.166666666666666,10.466666666666667,21.433333333333334,9.3,28.5,15.773333333333332,7.844953083918915
250,38.36666666666667,20.433333333333334,9.433333333333334,9.233333333333333,12.2,17.933333333333334,10.996201364309606
500,11.166666666666666,35.46666666666667,9.5,9.333333333333334,10.766666666666667,15.246666666666666,10.134662193570035
750,77.23333333333333,81.46666666666667,9.2,14.933333333333334,19.366666666666667,40.44,31.96106937440541
1000,66.6,48.46666666666667,55.86666666666667,73.06666666666666,104.66666666666667,69.73333333333333,19.42072203715517
1250,260.56666666666666,14.766666666666667,9.433333333333334,99.5,13.333333333333334,79.52,96.60528533965187
1500,150.26666666666668,111.56666666666666,9.3,108.46666666666667,59.93333333333333,87.90666666666667,48.64729020659265
1750,166.66666666666666,350.3,20.666666666666668,89.0,53.36666666666667,136.0,117.6469124116736
2000,65.9,342.2,26.4,135.23333333333332,36.6,121.26666666666668,116.82482803087896
2250,500.0,217.43333333333334,67.73333333333333,79.0,246.06666666666666,222.04666666666668,156.28899669806856
2500,500.0,390.23333333333335,85.73333333333333,38.833333333333336,158.5,234.66000000000003,179.40789205977904
2750,423.5,208.36666666666667,159.06666666666666,67.56666666666666,451.43333333333334,261.9866666666667,150.49475974634834
3000,500.0,465.3,133.0,228.83333333333334,236.43333333333334,312.7133333333333,143.88214714364904
3250,500.0,311.03333333333336,46.2,140.9,489.26666666666665,297.48,182.01049615643356
3500,500.0,9.366666666666667,30.766666666666666,155.43333333333334,75.6,154.23333333333332,179.98310908403474
3750,500.0,76.36666666666666,71.53333333333333,57.86666666666667,113.0,163.75333333333333,169.10982572149837
4000,500.0,181.73333333333332,181.56666666666666,113.6,83.1,212.0,149.053030085865
4250,500.0,389.6333333333333,120.5,163.6,500.0,334.74666666666667,162.98631244507754
4500,500.0,306.46666666666664,140.63333333333333,32.56666666666667,500.0,295.93333333333334,188.0837319446374
4750,500.0,33.4,136.6,107.5,500.0,255.5,202.45005309952379
5000,142.36666666666667,171.0,53.46666666666667,104.73333333333333,500.0,194.31333333333333,157.8281760509053
5250,61.8,287.26666666666665,191.13333333333333,127.8,500.0,233.6,152.5525279298176
5500,500.0,500.0,351.8,185.7,154.03333333333333,338.3066666666667,148.13304440415868
5750,500.0,500.0,398.3666666666667,360.1666666666667,500.0,451.70666666666676,60.36798047530384
6000,500.0,500.0,181.86666666666667,223.0,19.233333333333334,284.82000000000005,188.4474693677554
6250,132.23333333333332,228.3,334.2,112.3,500.0,261.40666666666664,142.99667657365717
6500,142.03333333333333,500.0,464.8,150.63333333333333,311.03333333333336,313.7,150.7356582453756
6750,108.0,500.0,268.3,127.66666666666667,152.1,231.2133333333333,145.45380725317727
7000,107.6,339.06666666666666,275.53333333333336,158.26666666666668,119.66666666666667,200.02666666666667,91.40863659657354
7250,181.46666666666667,228.46666666666667,172.06666666666666,138.93333333333334,125.06666666666666,169.2,36.15259019458741
7500,202.5,185.66666666666666,16.1,153.96666666666667,94.33333333333333,130.51333333333335,68.07853177683027
7750,176.26666666666668,167.13333333333333,242.56666666666666,151.2,79.56666666666666,163.34666666666666,52.1990489483392
8000,500.0,333.4,232.03333333333333,156.76666666666668,78.6,260.15999999999997,146.51460511195157
8250,500.0,500.0,402.1666666666667,149.33333333333334,78.16666666666667,325.93333333333334,178.3175880899644
8500,500.0,316.23333333333335,281.3,417.4,90.56666666666666,321.1,138.58733147169133
8750,500.0,233.93333333333334,494.53333333333336,449.26666666666665,129.43333333333334,361.43333333333334,151.46700997613675
9000,231.26666666666668,229.93333333333334,204.13333333333333,443.3333333333333,500.0,321.73333333333335,124.1022016099813
9250,500.0,11.233333333333333,153.83333333333334,372.6666666666667,500.0,307.5466666666667,194.80583450080636
9500,500.0,255.53333333333333,131.33333333333334,266.2,440.46666666666664,318.70666666666665,133.82776725660818
9750,500.0,500.0,402.0,416.8333333333333,500.0,463.7666666666666,44.6238102860395
10000,500.0,500.0,500.0,481.96666666666664,500.0,496.3933333333333,7.213333333333344
10250,93.33333333333333,197.5,500.0,448.43333333333334,500.0,347.85333333333335,169.58779908943922
10500,308.6666666666667,294.6,205.46666666666667,319.46666666666664,500.0,325.64,96.05490652052433
10750,500.0,500.0,89.2,189.13333333333333,500.0,355.6666666666667,179.5740342526663
11000,500.0,500.0,197.06666666666666,263.23333333333335,500.0,392.06,133.84456723295787
11250,95.8,500.0,189.1,483.0,500.0,353.58000000000004,175.0036388193114
11500,500.0,500.0,126.36666666666666,349.0,500.0,395.0733333333333,146.5297518518945
11750,500.0,500.0,370.2,498.2,500.0,473.68,51.74469634658223
12000,483.46666666666664,500.0,190.13333333333333,142.0,500.0,363.12,161.72447571238078
12250,354.3666666666667,500.0,233.23333333333332,490.3666666666667,9.266666666666667,317.44666666666666,182.56885288691618
12500,9.433333333333334,500.0,200.13333333333333,489.43333333333334,500.0,339.8,201.18008185039923
12750,134.7,500.0,228.3,191.6,500.0,310.91999999999996,157.23823199209536
13000,134.83333333333334,500.0,283.53333333333336,500.0,420.56666666666666,367.7866666666667,140.79228608919672
13250,270.3666666666667,500.0,161.83333333333334,500.0,500.0,386.44,143.25417566146004
13500,490.3666666666667,500.0,301.4,500.0,500.0,458.3533333333333,78.56530645124334
13750,429.56666666666666,500.0,323.26666666666665,500.0,499.73333333333335,450.5133333333333,69.2111924153569
14000,202.2,500.0,500.0,500.0,500.0,440.43999999999994,119.12000000000002
14250,500.0,500.0,500.0,500.0,10.833333333333334,402.16666666666663,195.66666666666666
14500,145.5,230.2,415.9,500.0,141.03333333333333,286.52666666666664,145.9711256074677
14750,43.9,500.0,500.0,214.9,246.36666666666667,301.0333333333334,176.46552952662202
15000,158.9,500.0,357.06666666666666,161.0,301.3,295.6533333333333,128.36980711124315
15250,331.4,416.1333333333333,251.8,500.0,54.1,310.6866666666666,152.76906551320454
15500,134.33333333333334,196.8,151.76666666666668,42.93333333333333,67.23333333333333,118.61333333333332,56.261502922612294
15750,500.0,500.0,336.0,469.76666666666665,54.1,371.9733333333333,170.10745283823135
16000,386.06666666666666,500.0,362.0,500.0,487.03333333333336,447.02,60.26364889199606
16250,124.03333333333333,207.23333333333332,500.0,500.0,500.0,366.25333333333333,165.90503387982739
16500,187.06666666666666,151.56666666666666,500.0,500.0,488.1666666666667,365.36,160.52005399118622
16750,290.26666666666665,144.73333333333332,500.0,108.06666666666666,151.16666666666666,238.84666666666666,144.56388914401978
17000,261.96666666666664,118.63333333333334,500.0,100.0,85.16666666666667,213.15333333333334,156.7048472624748
17250,439.06666666666666,137.26666666666668,500.0,500.0,125.06666666666666,340.28000000000003,172.22714923418238
17500,500.0,132.0,500.0,216.46666666666667,127.26666666666667,295.14666666666665,170.24737765968672
17750,500.0,117.63333333333334,500.0,500.0,79.76666666666667,339.47999999999996,196.96038699303077
18000,234.43333333333334,109.53333333333333,500.0,136.33333333333334,163.23333333333332,228.70666666666665,141.88357261423104
18250,494.06666666666666,177.23333333333332,411.56666666666666,224.53333333333333,181.03333333333333,297.6866666666666,130.38571598658086
18500,500.0,328.26666666666665,500.0,147.93333333333334,279.5,351.14,135.10516463522447
18750,500.0,295.3666666666667,499.3,222.66666666666666,228.83333333333334,349.23333333333335,125.4332420940407
19000,500.0,299.8,403.06666666666666,238.03333333333333,201.3,328.43999999999994,109.69062635937088
19250,500.0,161.53333333333333,266.6,137.13333333333333,170.13333333333333,247.08,133.92299877168222
19500,201.66666666666666,183.7,372.53333333333336,142.0,207.83333333333334,221.54666666666668,78.91804074833306
19750,152.56666666666666,368.1666666666667,387.9,89.26666666666667,232.8,246.14000000000001,117.07226144565585
20000,131.93333333333334,431.3,388.43333333333334,500.0,231.0,336.53333333333336,135.1992061120676
20250,143.6,353.6333333333333,398.7,450.6,246.76666666666668,318.65999999999997,110.31985698161706
20500,147.93333333333334,485.5,349.93333333333334,500.0,224.2,341.5133333333334,139.39635193696188
20750,149.96666666666667,500.0,500.0,416.5,181.66666666666666,349.62666666666667,153.47377539284466
21000,151.16666666666666,456.8,500.0,500.0,182.33333333333334,358.06,157.3074871425741
21250,147.66666666666666,500.0,500.0,446.43333333333334,343.23333333333335,387.46666666666664,132.8647415816384
21500,206.3,113.86666666666666,500.0,424.93333333333334,157.8,280.58000000000004,153.2114901406259
