timesteps,return
0,9.366666666666667
250,9.4
500,9.4
750,9.166666666666666
1000,9.333333333333334
1250,40.46666666666667
1500,79.5
1750,37.5
2000,51.13333333333333
2250,149.3
2500,149.63333333333333
2750,17.433333333333334
3000,14.333333333333334
3250,49.4
3500,79.36666666666666
3750,63.86666666666667
4000,67.2
4250,79.33333333333333
4500,386.3666666666667
4750,383.1666666666667
5000,433.8
5250,41.86666666666667
5500,456.2
5750,134.03333333333333
6000,185.36666666666667
6250,190.33333333333334
6500,138.13333333333333
6750,210.33333333333334
7000,392.53333333333336
7250,500.0
7500,500.0
7750,500.0
8000,196.86666666666667
8250,500.0
8500,500.0
8750,500.0
9000,500.0
9250,500.0
9500,500.0
9750,22.366666666666667
10000,58.333333333333336
10250,45.56666666666667
10500,100.53333333333333
10750,500.0
11000,193.4
11250,500.0
11500,132.13333333333333
11750,296.1
12000,42.3
12250,500.0
12500,500.0
12750,391.2
13000,25.266666666666666
13250,63.7
13500,76.03333333333333
13750,63.56666666666667
14000,488.46666666666664
14250,500.0
14500,500.0
14750,500.0
15000,130.1
15250,38.8
15500,500.0
15750,500.0
16000,500.0
16250,500.0
16500,500.0
16750,411.73333333333335
17000,500.0
17250,375.8
17500,205.0
17750,457.1333333333333
18000,499.26666666666665
18250,383.8
18500,175.33333333333334
18750,198.66666666666666
19000,454.06666666666666
19250,157.36666666666667
19500,138.7
19750,52.86666666666667
20000,135.23333333333332
20250,163.36666666666667
20500,155.83333333333334
20750,500.0
21000,500.0
21250,500.0
21500,500.0
21750,500.0
22000,500.0
22250,281.6333333333333
22500,500.0
22750,500.0
23000,128.86666666666667
23250,500.0
23500,500.0
23750,500.0
24000,500.0
24250,35.833333333333336
24500,500.0
24750,500.0
25000,500.0
25250,500.0
25500,500.0
25750,417.96666666666664
26000,261.26666666666665
26250,382.0
26500,147.53333333333333
26750,500.0
27000,142.06666666666666
27250,146.9
27500,155.93333333333334
27750,170.66666666666666
28000,147.16666666666666
28250,500.0
28500,500.0
28750,500.0
29000,500.0
29250,500.0
29500,452.8666666666667
29750,255.06666666666666
30000,206.23333333333332
30250,210.43333333333334
30500,234.5
30750,196.16666666666666
31000,160.46666666666667
31250,288.6333333333333
31500,112.43333333333334
31750,500.0
32000,500.0
32250,208.26666666666668
32500,500.0
32750,161.06666666666666
33000,500.0
33250,153.13333333333333
33500,73.73333333333333
33750,15.466666666666667
34000,493.4
34250,500.0
34500,500.0
34750,500.0
35000,500.0
35250,244.2
35500,232.93333333333334
35750,196.33333333333334
36000,212.5
36250,187.3
36500,131.13333333333333
36750,113.86666666666666
37000,131.4
37250,113.46666666666667
37500,235.96666666666667
37750,226.63333333333333
38000,229.5
38250,235.66666666666666
38500,138.86666666666667
38750,135.8
39000,112.33333333333333
39250,115.66666666666667
39500,288.23333333333335
